Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Original Air Date,Industry,Business Description,Pitchers Gender,US Viewership,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Royalty Deal,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present,Guest Present,Has_Website,Barbara Corcoran Got Deal,Mark Cuban Got Deal,Lori Greiner Got Deal,Robert Herjavec Got Deal,Daymond John Got Deal,Kevin O Leary Got Deal
13,OatHaus,3,1101,2021-10-08,2021-10-22,Food and Beverage,Oat butter spreads,Mixed Team,3.55,375000,5.0,7500000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0
13,FlaskyFlowers,3,1102,2021-10-08,2021-10-22,Lifestyle/Home,Flower bouquets with flasks inside,Mixed Team,3.55,50000,10.0,500000,1,75000.0,30.0,250000.0,3.0,25000.0,10.0,0.0,0.0,0.0,25000.0,10.0,25000.0,10.0,0.0,0.0,0.0,0.0,25000.0,10.0,0.0,0.0,NA,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,1,1,0,0,1
13,IncredibleEats,3,1103,2021-10-08,2021-10-22,Food and Beverage,IncrEdible Spoons Edible straws and utensils,Male,3.55,500000,7.0,7142857,1,500000.0,15.0,3333333.0,1.0,500000.0,15.0,0.0,0.0,0.0,0.0,0.0,500000.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,0,1,0,0,0
13,Magic5,4,1104,2021-10-08,2021-10-29,Lifestyle/Home,Custom swim goggles,Male,3.8,500000,2.5,20000000,1,1000000.0,6.5,15384615.0,1.0,1000000.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,0
13,Tabby,4,1105,2021-10-08,2021-10-29,Software/Tech,Dating app for cat people,Mixed Team,3.8,300000,20.0,1500000,1,300000.0,30.0,1000000.0,1.0,300000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,30.0,0.0,0.0,NA,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,1
13,SoaPen,4,1106,2021-10-08,2021-10-29,Lifestyle/Home,Soap pen,Female,3.8,100000,10.0,1000000,1,100000.0,10.0,1000000.0,1.0,100000.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,10.0,Nirav Tolia,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0
13,54Thrones,4,1107,2021-10-08,2021-10-29,Fashion/Beauty,African shea butter,Female,3.8,250000,10.0,2500000,1,250000.0,17.5,1428571.0,2.0,125000.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,8.75,125000.0,8.75,Nirav Tolia,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,1
13,Wedfuly,5,1108,2021-10-08,2021-11-05,Software/Tech,virtual weddings app,Female,3.95,200000,5.0,4000000,1,200000.0,10.0,2000000.0,1.0,200000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,1,0,0
13,Wad-Free,5,1109,2021-10-08,2021-11-05,Lifestyle/Home,wad preventer for washing machines,Female,3.95,200000,5.0,4000000,1,200000.0,10.0,2000000.0,1.0,200000.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,10.0,0.0,0.0,NA,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1
13,Beulr,5,1110,2021-10-08,2021-11-05,Software/Tech,Bot that attends and records Zoom meetings,Male,3.95,150000,20.0,750000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0
13,Spergo,5,1111,2021-10-08,2021-11-05,Fashion/Beauty,Inspirational clothing line,Mixed Team,3.95,300000,10.0,3000000,1,300000.0,20.0,1500000.0,1.0,300000.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,20.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,1,0
13,FishFixe,6,1112,2021-10-08,2021-11-12,Food and Beverage,Seafood delivery service,Female,3.58,200000,15.0,1333333,1,200000.0,25.0,800000.0,1.0,200000.0,25.0,0.0,0.0,0.0,0.0,0.0,200000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,1,0,0,0
13,HelloPrenup,6,1113,2021-10-08,2021-11-12,Lifestyle/Home,"quick, inexpensive prenuptial agreement service",Female,3.58,150000,10.0,1500000,1,150000.0,30.0,500000.0,2.0,75000.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,15.0,75000.0,15.0,Nirv Tolia,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,1
13,Deux,6,1114,2021-10-08,2021-11-12,Food and Beverage,"Edible, vegan cookie dough",Female,3.58,300000,10.0,3000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0
13,Hidrent,6,1115,2021-10-08,2021-11-12,Lifestyle/Home,Firefighter contractor service for home projects,Male,3.58,300000,8.0,3750000,1,300000.0,33.33,900090.0,2.0,150000.0,16.665,0.0,0.0,0.0,0.0,0.0,150000.0,16.665,150000.0,16.665,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,1,1,0,0
13,SheetsLaundryClub,7,1116,2021-10-08,2021-11-19,Lifestyle/Home,Plastic-free dissolvable laundry detergent sheets,Male,4.34,500000,5.0,10000000,1,500000.0,8.0,6250000.0,1.0,500000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,8.0,Daniel Lubetzky,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
13,PinkPicasso,7,1117,2021-10-08,2021-11-19,Lifestyle/Home,paint by numbers paint kit,Female,4.34,400000,5.0,8000000,1,500000.0,15.0,3333333.0,2.0,250000.0,7.5,0.0,0.0,0.0,0.0,0.0,250000.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,7.5,Daniel Lubetzky,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0
13,Love&Pebble,7,1118,2021-10-08,2021-11-19,Fashion/Beauty,diy beauty pop face masks,Mixed Team,4.34,150000,10.0,1500000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0
13,ZachZoeSweetBeeFarm,7,1119,2021-10-08,2021-11-19,Food and Beverage,home grown raw honey blended with superfruits,Mixed Team,4.34,150000,10.0,1500000,1,150000.0,15.0,1000000.0,1.0,150000.0,15.0,0.0,150000.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0
13,Wendy'sGnomeShop,8,1120,2021-10-08,2021-12-10,Lifestyle/Home,Decorative gnomes for the holidays,Female,3.57,200000,20.0,1000000,1,200000.0,30.0,666667.0,1.0,200000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,30.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0
13,OrnamentAnchor,8,1121,2021-10-08,2021-12-10,Fashion/Beauty,Secure ornament hangers,Mixed Team,3.57,90000,5.0,1800000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
13,TheRealElf,8,1122,2021-10-08,2021-12-10,Lifestyle/Home,personal digital messages,Male,3.57,125000,25.0,500000,1,125000.0,35.0,357143.0,1.0,125000.0,35.0,0.0,125000.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0
13,Santa'sEnchantedMailbox,8,1123,2021-10-08,2021-12-10,Lifestyle/Home,Magical mailbox for sending letters to Santa,Mixed Team,3.57,150000,30.0,500000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
13,MaxproFitness,9,1124,2021-10-08,2021-12-17,Health/Wellness,Portable resistant band machine,Male,3.67,500000,2.5,20000000,1,500000.0,3.0,16666667.0,1.0,500000.0,3.0,0.0,0.0,0.0,500000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,1,0,0,0,0
13,BananaLoca,9,1125,2021-10-08,2021-12-17,Food and Beverage,Banana coring and filling tool,Mixed Team,3.67,250000,25.0,1000000,1,250000.0,25.0,0.0,2.0,125000.0,12.5,1.0,0.0,0.0,125000.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,12.5,0.0,0.0,NA,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,1
